"Scientific.name","First.record","Last.record"
"Acrochordus granulatus",1857,2017
"Aeluroscalabotes felinus",1864,2008
"Ahaetulla fasciolata",1923,2017
"Ahaetulla mycterizans",1953,2017
"Ahaetulla prasina",1860,2017
"Amphiesma stolatum",1923,1923
"Amyda cartilaginea",1898,2017
"Aphaniotis fusca",1901,2017
"Asthenodipsas laevis",1978,2017
"Bitia hydroides",1923,1923
"Boiga cynodon",1899,2017
"Boiga dendrophila",1899,2017
"Boiga drapiezii",1896,2017
"Boiga jaspidea",1882,2017
"Bronchocela cristatella",1896,2017
"Bungarus candidus",2002,2021
"Bungarus fasciatus",1899,2017
"Calamaria albiventer",1906,1906
"Calamaria gimletti",1933,2017
"Calamaria lumbricoidea",1987,2017
"Calamaria schlegeli",1899,2017
"Calliophis bivirgatus",1908,2017
"Calliophis gracilis",1923,1923
"Calliophis intestinalis",1899,2017
"Cantoria violacea",1858,2017
"Cerberus schneiderii",1860,2017
"Chrysopelea paradisi",1900,2017
"Chrysopelea pelias",1923,2017
"Cnemaspis peninsularis",1894,2017
"Coelognathus flavolineatus",1897,2017
"Coelognathus radiatus",1923,1923
"Crocodylus porosus",1897,2017
"Cuora amboinensis",1941,2017
"Cyclemys dentata",1951,2017
"Cylindrophis ruffus",1896,2017
"Cyrtodactylus consobrinus",2002,2017
"Cyrtodactylus majulah",1924,2017
"Cyrtodactylus pantiensis",2011,2011
"Cyrtodactylus quadrivirgatus",1924,2016
"Cyrtodactylus semenanjungensis",2007,2007
"Dasia grisea",2011,2017
"Dasia olivacea",1923,2017
"Dendrelaphis caudolineatus",1898,2017
"Dendrelaphis cyanochloris",2004,2017
"Dendrelaphis formosus",1893,2017
"Dendrelaphis haasi",1935,2017
"Dendrelaphis kopsteini",2007,2017
"Dendrelaphis pictus",1897,2017
"Dogania subplana",1898,2017
"Draco fimbriatus",1983,1990
"Draco maculatus",1885,1925
"Draco melanopogon",1925,2017
"Draco quinquefasciatus",2001,2017
"Draco sumatranus",1896,2017
"Dryocalamus subannulatus",1881,2017
"Dryophiops rubescens",1927,2017
"Emoia atrocostata",1870,2017
"Eutropis multifasciata",1897,2017
"Eutropis rugiferus",1925,2017
"Fordonia leucobalia",1846,2017
"Gehyra mutilata",1908,2017
"Gekko monarchus",1897,2017
"Gekko smithii",1937,2017
"Gerarda prevostiana",1981,2017
"Gongylosoma baliodeira",1923,2017
"Gonocephalus bellii",1922,1922
"Gonyosoma margaritatum",1923,1923
"Gonyosoma oxycephalum",1904,2017
"Hebius petersii",1949,1949
"Hemidactylus craspedotus",1991,2017
"Hemidactylus frenatus",1846,2017
"Hemidactylus garnotii",1980,1980
"Hemidactylus platyurus",1846,2017
"Hemiphyllodactylus typus",1983,2017
"Heosemys spinosa",1903,2017
"Homalopsis buccata",1897,2017
"Indotyphlops braminus",1922,2017
"Laticauda colubrina",1859,2017
"Lepidodactylus lugubris",1924,2017
"Liopeltis tricolor",1894,1923
"Lipinia vittigera",1999,2017
"Luperosaurus browni",2005,2017
"Lycodon aulicus",1911,2006
"Lycodon capucinus",1932,2017
"Lycodon subcinctus",1923,2017
"Lygosoma bowringii",1899,2017
"Lygosoma quadrupes",2016,2016
"Macropisthodon rhodomelas",1878,2017
"Malayopython reticulatus",1857,2017
"Naja sumatrana",1912,2017
"Notochelys platynota",1909,2017
"Oligodon octolineatus",1923,2017
"Oligodon purpurascens",1881,2017
"Oligodon signatus",1897,2017
"Ophiophagus hannah",1847,2017
"Phytolopsis punctata",2014,2014
"Psammodynastes pictus",1923,2017
"Pseudorabdion longiceps",1893,2017
"Ptyas carinata",1899,2017
"Ptyas fusca",1923,2017
"Ptyas korros",1923,2017
"Ptyas mucosa",1907,1923
"Ptychozoon kuhli",1868,2017
"Python brongersemai",1901,1923
"Raclitia indica",1930,2020
"Ramphotyphlops lineatus",1923,2019
"Rhabdophis subminiatus",1924,1924
"Sibynophis melanocephalus",1891,2017
"Siebenrockiella crassicollis",1978,2015
"Sphenomorphus sp.",2013,2017
"Trimeresurus purpureomaculatus",1897,2017
"Tropidolaemus wagleri",1896,2017
"Typhlops muelleri",1923,2017
"Tytthoscincus temasekensis",1999,1999
"Varanus dumerilii",1935,2017
"Varanus nebulosus",1897,2017
"Varanus salvator",1921,2017
"Xenelaphis hexagonotus",1897,2017
"Xenochrophis maculatus",1922,2017
"Xenochrophis trianguligerus",1894,2008
"Xenopeltis unicolor",1907,2017
